,사업장명,지역(구)
0,J-PT,중랑구
1,메이크유 필라테스&PT,구로구
2,에스짐 양천구청점,양천구
3,테디짐PT 서초래미안,서초구
4,플레이스짐,은평구
5,3GYM,성동구
6,훈련소,강동구
7,조아Gym,노원구
8,위드핏,영등포구
9,원짐,용산구
10,클래시 휘트니스,서초구
11,파인드 미 피티 스튜디오,강북구
12,피티공간,강남구
13,엠오핏 PT&Pilates,양천구
14,(주)피기블라인더스,강남구
15,아워 피트니스(Our Fitness),관악구
16,비스코헬스케어,광진구
17,휘트니스피플 우먼 길동점,강동구
18,넥스트레벨피티,서초구
19,바디어필 PT 스튜디오,서초구
20,위크로스핏,서초구
21,핏플즈,서초구
22,에이제이짐,서초구
23,에이블짐,중랑구
24,리버스바디,서초구
25,다윗헬스클럽,강동구
26,올데이핏(Allday Fit),서초구
27,우아,강남구
28,박PT,서초구
29,피트니스 프렌즈,서초구
30,썬더짐,서초구
31,주식회사 블레스라이프 필라테스,서초구
32,짐앤피티,영등포구
33,이너멜핏,관악구
34,피트니스플랜비,마포구
35,바운드짐,관악구
36,힘듦,마포구
37,프롬 베이스먼트,동작구
38,마음가짐 P.T 1:1 Studio,강서구
39,내셔널짐 서초점,서초구
40,크로스핏 쓰리박스,강동구
41,픽스바디짐,은평구
42,모스트짐,성동구
43,체대입시FA,성북구
44,라인피트니스,양천구
45,와츠핏(What's fit),성동구
46,트리니코스,금천구
47,짐박스 피트니스,동작구
48,바르다짐,영등포구
49,헬스 Boy,송파구
50,마카롱 PT,서대문구
51,이너멜 피트니스,관악구
52,짐로드,강남구
53,콤마짐,중랑구
54,짐박스피트니스 낙성대점,관악구
55,베스트 트레이닝 스튜디오(BTS),송파구
56,리스펙짐,서초구
57,W gym,강남구
58,스포니스 약수점,중구
59,퍼플피플,중랑구
60,바디킥짐,강서구
61,머스트무브짐,송파구
62,브이업짐 발산점,강서구
63,테라피티 방이동점,송파구
64,브이업짐 마곡점,강서구
65,나의 체육관,동작구
66,라이프체인지 PT,강동구
67,워라밸피트니스 자양점,광진구
68,엠스트레이닝 2호점,구로구
69,무궁화체육관,강서구
70,one shop,중구
71,랩 지피티짐,중랑구
72,코어핏 PT&필라테스,중랑구
73,머슬뱅크짐,영등포구
74,엔짐 영등포점,영등포구
75,투에스짐,광진구
76,테디피트니스 문정점,송파구
77,소마앤바디,마포구
78,롱투짐,중구
79,Billion GYM(빌리언짐),영등포구
80,헬슐랭 피트니스,은평구
81,원(1)GYM,용산구
82,마곡PT아카데미,강서구
83,나아짐,강남구
84,나만의GYM,서초구
85,파운드짐 신림역점,관악구
86,바디클래스,관악구
87,업투 한티역점,강남구
88,KB국민은행 피트니스(신관),영등포구
89,HY트레이닝,강서구
90,포미짐,노원구
91,로얄짐3호점,마포구
92,핏인라이프,마포구
93,잼짐(GEM GYM),서초구
94,Must run 스피드 트레이닝 센터,광진구
95,로그짐 송파나루점,송파구
96,짐파티,강남구
97,프리빗 PT 스튜디오,중랑구
98,F45,성동구
99,빌리핏 PT 스튜디오,노원구
100,어반프라이빗짐,강남구
101,YOON GYM,강남구
102,헬스보이짐&필라걸 을지로점,중구
103,GOGO GYM,강동구
104,씰피티클럽,서대문구
105,업투 압구정로데오역점,강남구
106,코리안탑팀,영등포구
107,짐박스 피트니스,관악구
108,모티브,강서구
109,바른핏,용산구
110,휘트니스엠 수유점,강북구
111,Good Fit,강북구
112,(주)뷰티짐,노원구
113,네이쳐휘트니스클럽,영등포구
114,(주)부티짐,노원구
115,크로스핏 라이노,강서구
116,스포니스 방이점,송파구
117,베네짐,중구
118,피트니즈 자양점,광진구
119,피지오숲,관악구
120,마운틴짐,강서구
121,NX Fitness(엔엑스 피트니스),용산구
122,옐로우필라테스&PT,동대문구
123,크로스핏 바이브온,영등포구
124,Strength Museum,마포구
125,더 보스짐,금천구
126,우리짐 상도점,동작구
127,바디다짐,금천구
128,(주)에이블짐 불광지점,은평구
129,넘버원짐,은평구
130,바디랩PT 장안점,동대문구
131,비비짐(BB짐),동작구
132,바디톡,중랑구
133,착한휘트니스(신설동점),종로구
134,피트니스H,강동구
135,라고,송파구
136,demarq 상암SDS 피트니스센터,마포구
137,휘트니스엠 양재,강남구
138,퍼포먼스 피지오 트레이닝 센터(Perform Physio),송파구
139,진트짐,구로구
140,펜타핏 주식회사,서초구
141,온더휘트니스,영등포구
142,팀람다 트레이닝센터,서초구
143,더밸런스랩,동대문구
144,데일리짐&PT 구파발역,은평구
145,아프로 휘트니스,구로구
146,건국AMC The Classic 500,광진구
147,전자서울 R&D 피트니스센터,서초구
148,머슬마인드 구로디지털 본점,구로구
149,스마일 보이짐,성북구
150,고위드 피트니스,동작구
151,식스에이엠,용산구
152,로그짐 양재역점,강남구
153,MILO GYM,송파구
154,더블에스 휘트니스,중구
155,제이와이 스파피트니스피티 공릉점,노원구
156,짐박스피트니스 신림역점,관악구
157,제임스짐,관악구
158,비나이더신촌점,마포구
159,(주)엠알티핏,서초구
160,헬스GO 피트니스,은평구
161,져스트 짐,도봉구
162,피티다움,영등포구
163,스포애니 광화문역점,종로구
164,한상현GYM,종로구
165,YFL,종로구
166,711GYM,종로구
167,스포짐,종로구
168,바디밸런스,종로구
169,센트로폴리스 피트니스,종로구
170,머슬메카,은평구
171,워너짐 NO.1,종로구
172,스페이스본 휘트니스센터,종로구
173,100일 PT 샵,종로구
174,디앤브이 피트니스,종로구
175,에이블짐창신역점,종로구
176,필웨이,종로구
177,PT.ROOT,종로구
178,피티루트,종로구
179,로얄EMS.PT,종로구
180,RUN 광화문,종로구
181,금보개발(주)오라카이 대학로 호텔,종로구
182,내몸을 차짐,종로구
183,MAX체력단련장,종로구
184,박영길 휘트니스,종로구
185,경복궁휘트니스,종로구
186,푸쉬앤풀휘트니스,종로구
187,보령헬스피아,종로구
188,제이휘트니스,종로구
189,위아짐,광진구
190,제일메가스포,종로구
191,AB휘트니스클럽,종로구
192,바디스테이션종로점,종로구
193,주-스포짐,종로구
194,M2 GYM,종로구
195,다함PT,종로구
196,홍핏(HONG FIT),종로구
197,머슬프렌즈짐,성북구
198,클래식바디짐,종로구
199,셀렉트짐,종로구
200,(주)타이거알유(계동지점),종로구
201,피티루트(부암동점),종로구
202,나봄PT&PILATES,종로구
203,더타임,종로구
204,DK퍼스널트레이닝,종로구
205,주식회사 태평로 바디스타,중구
206,DDPT&PILATES,중구
207,피엘유,중구
208,골든크라운 크로스핏 서대문역,중구
209,3S gym,중구
210,핏앤힐 (Fit and Hill),중구
211,잇즈(ITZ)핏,중구
212,세심한 PT studio,중구
213,비치바디,중구
214,엘리트핏24,중구
215,핏인라이프,마포구
216,관리의 기술,중구
217,CM헬스,중구
218,피트니스 월드,중구
219,파크짐,중구
220,황금스파,중구
221,제이엘스포츠,중구
222,(주)센터원웰니스,중구
223,(주)조선호텔앤리조트스테이트타워남산GYM,중구
224,(주)더한 오리엔스 호텔 & 레지던스,중구
225,엠피트니스,중구
226,이로운 퍼스널 트레이닝 스튜디오,중구
227,휘트니스센터,중구
228,OUTFIT FITNESS,중구
229,(주)스포짐앤밀론,중구
