자치구별,20대_직장인,30대_직장인,직장인구 합계,대학교,지하철역,헬스장
강남구,150410,220309,370719,0,21,447
송파구,32007,49794,81801,1,28,259
서초구,47964,69121,117085,1,12,272
중구,88410,113956,202366,2,23,121
성북구,5007,10281,15288,7,9,91
노원구,1993,2746,4739,6,13,102
서대문구,5772,7085,12857,7,5,73
종로구,39280,66416,105696,4,15,57
강서구,5707,9059,14766,2,9,224
광진구,7645,10609,18254,3,11,156
마포구,18501,26901,45402,2,16,151
동대문구,9219,12058,21277,4,6,108
구로구,16417,26880,43297,3,7,98
동작구,6829,11111,17940,3,12,83
용산구,33761,45836,79597,2,10,79
영등포구,31742,52140,83882,0,11,141
성동구,9533,13184,22717,2,14,86
관악구,3539,5326,8865,1,4,145
은평구,2951,4584,7535,1,13,105
강동구,5317,7961,13278,0,14,117
양천구,5044,8489,13533,0,5,129
중랑구,1870,3105,4975,1,8,71
도봉구,1601,3031,4632,1,3,78
금천구,18871,29860,48731,0,1,68
강북구,1486,2512,3998,0,3,50
