상호명,지역(도),지역(시),지역(구),기본 메뉴 가격,베이커리 여부,상권
카페 프로틴 나우,서울,서울,송파구,6800,O,주거단지
3H 프로틴카페,서울,서울,중구,7000,O,상업단지
프로틴퀸u역삼,서울,서울,강남구,7000,O,상업단지
OK프로틴바,서울,서울,성동구,6500,O,주거단지
여의도프로틴연구소,서울,서울,영등포구,5900,O,상업단지
프로프로틴,경기,고양,덕양구,5500,O,주거단지
프로틴카페 H247,서울,서울,강남구,7000,O,상업단지
프로틴퀸코리아,서울,서울,강남구,7000,O,상업단지
올라프로틴,서울,서울,강남구,7000,O,상업단지
스마일 프로틴,서울,서울,종로구,6500,O,상업단지
하이프로틴,경기,남양주,다산동,6000,O,주거단지
헬로프로틴,서울,서울,중랑구,6000,O,주거단지
써니프로틴,경기,구리,인창동,6500,O,주거단지
하이프로틴 단백질카페 ,인천,인천,남동구,5000,O,주거단지
프로틴도넛 하랑,경기,고양,일산동구,6000,O,주거단지
예스프로틴,서울,서울,도봉구,6500,O,주거단지
참쉬운프로틴cafe,경기,고양,덕양구,6200,O,주거단지
단백조아,인천,인천,계양구,7000,O,주거단지
모두 찜질 카페,경기,김포,마산동,5500,O,주거단지
단백질빵빵 프로틴카페,대구,대구,동구,5000,O,주거단지
프로틴카페 H247,부산,부산,해운대구,7000,O,주거단지
카페153 프로틴카페,대전,대전,서구,7000,O,주거단지
90칼로리 프로틴 카페,부산,부산,사하구,6000,O,주거단지
매일프로틴카페,경기,동두천,,7300,O,주거단지
프로틴카페 가온누리,경기,김포,구래동,5700,O,주거단지
아모하임,세종,세종,소담동,5500,O,주거단지
골드위치 프로틴카페&베이커리,부산,부산,강서구,6500,O,주거단지
프로틴하우스,부산,부산,기장군,6500,O,주거단지
겟프로틴,대전,대전,유성구,7000,O,주거단지
프로틴 한잔,경기,안성,안성 옥산동,7000,O,주거단지
프로틴153,충북,음성,,6500,O,주거단지
프로틴샵,경남,양산,,6000,O,주거단지
cafe 프로틴플러스,인천,인천,중구,9000,O,주거단지
오단백,서울,서울,송파구,7000,O,주거단지
티쉑,경기,성남,분당구,7000,O,주거단지
카페 더단백,서울,서울,송파구,6500,O,상업단지
헬씨태그 PROTEIN CAFE,광주,광주,,5500,O,주거단지
카페올리브,서울,서울,강동구,6300,O,주거단지
